post_id	date	title	status	module	subpath	dest_path	topics	notes
1715	2025-07-02	Forgiveness from the Jewish and Christian Perspectives	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250702-forgiveness-from-the-jewish-and-christian-perspectives.md	cpp_adjacent	
1805	2025-07-09	vixra test	private	CFE	essays	CFE_christos_fellowship_essays\essays\250709-vixra-test.md		
1422	2025-07-11	Superposition and Gravity	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250711-superposition-and-gravity.md	cpp_adjacent	
1886	2025-07-20	AI Companionship and Human Growth	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250720-ai-companionship-and-human-growth.md	cpp_adjacent	
1904	2025-07-22	Jesus Sacrifice - The Payment for Sin	publish	CAP	essays	CAP_christos_apologetics\essays\250722-jesus-sacrifice-the-payment-for-sin.md		
1949	2025-07-27	The Mask of Satan	publish	CAP	essays	CAP_christos_apologetics\essays\250727-the-mask-of-satan.md		
1947	2025-07-29	Gravitational Waves and General Relativity	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250729-gravitational-waves-and-general-relativity.md	cpp_adjacent	
2185	2025-08-18	The Shroud of Turin	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250818-the-shroud-of-turin.md		
2518	2025-09-05	The Basis of Morality vs The Justification of Morality	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250905-the-basis-of-morality-vs-the-justification-of-morality.md		
2528	2025-09-08	Integration of Ch 6 and 11 Axiomatic Derivation of Constants - Version 1a	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250908-integration_of_ch_6_and_11_axiomatic_derivation_of_constants.md		
2581	2025-09-11	Renaissance Meeting #19 - Continuing Revelation	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\250911-renaissance-meeting-19-continuing-revelation.md		
2583	2025-09-11	The Leaven of Truth	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250911-2583.md	cpp_adjacent	
2617	2025-09-13	Geometric Resonance Therapy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250913-geometric-resonance-therapy.md	cpp_adjacent	
2640	2025-09-14	Renaissance #20 Submit to Authority	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250914-renaissance-20-submit-to-authority.md	cpp_adjacent	
2664	2025-09-18	Organ Tissue Regeneration - Entropy Therapy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250918-organ-tissue-regeneration-entropy-therapy.md		
2716	2025-09-20	Homeopathic Frequency Generator	private	CMD	essays	CMD_christos_medicine\essays\250920-homeopathic-frequency-generator.md	homeopathy,frequency_generator	
2748	2025-09-22	Theology and Science Integration in a TOE	private	CFE	essays	CFE_christos_fellowship_essays\essays\250922-theology-and-science-integration-in-a-toe.md	theology_science_integration,toe	
2752	2025-09-23	Non-Resistance/Mindful Acceptance Therapy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250923-non-resistance-mindful-acceptance-therapy.md		
2784	2025-09-26	Coping with the Addictive Behavior of a Family Member	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250926-coping-with-the-addictive-behavior-of-a-family-member.md		
2792	2025-09-26	Marriage Restoration after Betrayal	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250926-marriage-restoration-after-betrayal.md		
2813	2025-09-28	Renaissance #24: Faith Under Fire	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\250928-renaissance-24-faith-under-fire.md		
2844	2025-10-04	The Spiritual Dimension of AI	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251004-the-spiritual-dimension-of-ai.md	politics	
2879	2025-10-05	Renaissance #25, Family Food Choices	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251005-renaissance-25-family-food-choices.md		
2882	2025-10-06	The Seductive Pull of the Frontier	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251006-the-seductive-pull-of-the-frontier.md	cpp_adjacent	
3007	2025-10-25	Implications of Living in a Conscious Universe	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251025-implications-of-living-in-a-conscious-universe.md	cpp_adjacent	
3010	2025-10-25	Renaissance #27: Determining Spiritual Truth	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251025-renaissance-27-determining-spiritual-truth.md		
3012	2025-10-25	Justification of Biblical Authority as the Foundation of Truth	publish	CAP	essays	CAP_christos_apologetics\essays\251025-justification-of-biblical-authority-as-the-foundation-of-truth.md		
3020	2025-10-26	Renaissance #28: Faith, Truth, and Human Experience	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251026-renaissance-27-faith-truth-and-human-experience.md		
3033	2025-10-27	Conscious Point Physics - Physics Journal Article - Version 7.2	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251027-conscious-point-physics-physics-journal-article-version-7-2.md	cpp,physics_journal_article,version_7_2	
3040	2025-10-27	The Gradients as the Driver of Natural Systems	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251027-the-gradients-as-the-driver-of-natural-systems.md	cpp_adjacent	
3080	2025-11-02	Conscious Teleology Embedded in Rules	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251102-conscious-teleology-embedded-in-rules.md		
3098	2025-11-03	What is Good Art?	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251103-what-is-good-art.md	politics	
3101	2025-11-03	Renaissance #29, Dalai Lama Philosophy	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251103-renaissance-29-dalai-lama-philosophy.md		
3103	2025-11-04	A Conventional Conscious Universe Theory	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251104-a-conventional-conscious-universe-theory.md	cpp_adjacent	
3325	2025-12-06	60 Antipodal Vertex-Polarity Meditations	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251206-60-antipodal-and-720-vertex-polarity-meditations.md	cpp_adjacent	
3330	2025-12-06	600 cell - 720 connections, 12 Nearest Vertex Meditations	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251206-720-nearest-neighbor-meditations.md	cpp_adjacent	
3336	2025-12-06	Piloreception - Hair as a Sensory Organ	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251206-piloreception-hair-as-a-sensory-organ.md	cpp_adjacent	
3346	2025-12-12	Understanding the 4D Icosaplex Lattice	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251212-understanding-the-4d-icosaplex-lattice.md	cpp_adjacent	
3348	2025-12-12	Reality Arising from HCP Bit String Arithmetic	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251212-reality-arising-from-icp-bit-string-arithmetic.md	cpp_adjacent	
3355	2025-12-21	Nuclear Spin-Orbit effects and their 600-cell Relationship	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251221-nuclear-magic-numbers-and-the-600-cell-effect.md	cpp_adjacent	
3376	2026-02-01	Speaking the Truth in Love	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260201-speaking-the-truth-in-love.md		
3378	2026-02-05	The Cell Danger Response	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260205-the-cell-danger-response.md		
3396	2026-02-10	Urgency of Spreading the Gospel in the Age of AI	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260210-urgency-of-spreading-the-gospel-in-the-age-of-ai.md		
3410	2026-02-12	Metaphor vs. Reality	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260212-metaphor-vs-reality.md		
3472	2026-02-20	Censorship	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260220-censorship.md		
3476	2026-02-21	Post-Scarcity Meaning of Life - Christos Counselor	publish	CCN		CCN_christos_counselor\260221-post-scarcity-meaning-of-life.md	post_scarcity,meaning_of_life,counseling	
3485	2026-02-22	Equipping the Saints - Christos Group Leader	publish	CGL		CGL_christos_group_leader\260222-equipping-the-saints.md	equipping_saints,group_leader,fellowship_leadership	
3497	2026-02-24	Evil as Spiritual Polarity	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260224-evil-as-spiritual-polarity.md		
3500	2026-02-25	Political Parties and their Moral Non-Equivalence	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260225-judge-not-except-you-must.md		
3517	2026-02-26	Effective Counsel  - Christos Diagnostician	publish	CDI		CDI_christos_diagnostician\260226-effective-counsel-christos-diagnostician.md	effective_counsel,diagnostician,counseling_skill	
3520	2026-02-26	Christos Medical Testimony	publish	CMT		CMT_christos_medical_testimony\260226-christos-medical-testimony.md	medical_testimony,healing	
3522	2026-02-26	Christos Cross Check	publish	CCK		CCK_christos_cross_check\260226-christos-cross-check.md	cross_check,verification	
3527	2026-02-26	Christos Voting Network	publish	CVN	website	CVN_christos_voting_network\website\260226-christos-voting-network.md	voting_network,website_seed	
3532	2026-02-26	A Neutral Stand on Parties - Without Discrimination of Underlying Philosophical Stand	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260226-a-neutral-stand-on-parties-without-discrimination-of-underlying-philosophical-stand.md	politics	
3542	2026-02-26	The Christos Commons	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260226-the-christos-commons.md	politics,cpp_adjacent	
3544	2026-02-26	Christos Counselor - Founder Grounding/Training	publish	CCN		CCN_christos_counselor\260226-christos-counselor-founder-grounding-training.md	counseling,pastoral_training	
3551	2026-02-27	Christos Logos	publish	CLO		CLO_christos_logos\260227-christos-logos.md	logos,word,incarnation	
3555	2026-03-01	Living in the Spirit	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260301-living-in-the-spirit.md		
3560	2026-03-03	Iranian War Commentary Evaluation	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260303-iranian-war-commentary-evaluation.md		
3564	2026-03-04	Why Does God Allow Evil	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260304-the-problem-of-evil.md		
3569	2026-03-06	Christos Seminar - The Gateway	publish	CSE		CSE_christos_seminar\260306-christos-seminar-the-gateway.md	seminar,gateway	
3575	2026-03-09	Manichaeism a Dualistic Religion	publish	CWR	essays	CWR_christos_world_religions\essays\260309-manichaeism.md		
3582	2026-03-13	Evil and Stoicism	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260313-evil-and-stoicism.md		
3584	2026-03-13	Benefits of having a personal philosophy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260313-benefits-of-having-a-personal-philosophy.md		
3586	2026-03-13	Biblical Patterns in the Iran War	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260313-biblical-patterns-in-the-iran-war.md		
3588	2026-03-13	Cross and Crescent	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260313-cross-and-crescent.md		
3590	2026-03-14	Rekindling our Passion for the Living God	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260314-rekindling-our-passion-for-the-living-god.md		
3594	2026-03-14	Suicidal Sympathy for the Devil	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260314-suicidal-sympathy-for-the-devil.md		
3598	2026-03-14	Climate Controversy - CEP	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260314-climate-controversy-cep.md	politics,cpp_adjacent	
3600	2026-03-14	New Posts Page	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260314-new-posts-page.md		
3606	2026-03-18	Civilizational Conflict	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260318-civilizational-conflict.md		
3608	2026-03-18	Consciousness at the Center of Creation	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260318-consciousness-at-the-center-of-creation.md		
3617	2026-03-21	Theodicy - Rationalizing God's Existence and the Holocaust	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260321-theodicy-rationalizing-the-holocaust.md		
3621	2026-03-21	The Righteous and the Wicked	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260321-the-righteous-and-the-wicked.md		
3624	2026-03-21	Theodicy - Definition	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260321-theodicy-definition.md		
3632	2026-03-23	Renaissance Fellowship Discussion 260322 - Seeking Truth	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260323-renaissance-fellowship-discussion-260322-seeking-truth.md		
3656	2026-03-25	The Societal and Personal Price of a Morally Lukewarm Majority	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260325-the-societal-and-personal-price-of-a-morally-lukewarm-majority.md		
3663	2026-03-29	The AI and Personal God Analogy	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260329-the-ai-and-personal-god-analogy.md		
3665	2026-03-29	Lifestyle as Medicine, Farming, and Soil Enrichment	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260329-lifestyle-as-medicine-farming-and-soil-enrichment.md		
3669	2026-03-30	No King but King Jesus	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260330-no-king-but-king-jesus.md	cpp_adjacent	
3671	2026-03-30	The Truth Shall Set You Free	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260330-the-truth-shall-set-you-free.md		
3673	2026-03-30	Come Out of the Egypt in Your Heart	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260330-come-out-of-the-egypt-in-your-heart.md		
3678	2026-04-04	Unity in Christ	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260404-unity-in-christ.md		
3681	2026-04-04	The Kingdom Citizen	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260404-the-kingdom-citizen.md		
3684	2026-04-04	Exorcism and Demonology - Fr. Ripperger	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260404-exorcism-and-demonology-fr-ripperger.md		
3687	2026-04-04	Do Unto Others is Justice	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260404-do-unto-others-is-justice.md		
3695	2026-04-04	The Price of National Arrogance	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260404-the-price-of-national-arrogance.md		
3697	2026-04-05	Give Christ Your Heart, Be Informed, Plan Well, Take Action	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260405-give-christ-your-heart-be-informed-plan-well-take-action.md		
3702	2026-04-06	Christos Voting Network - Version 2	publish	CVN	website	CVN_christos_voting_network\website\260406-christos-voting-network-version-2.md	voting_network,website_seed,v2	
3712	2026-04-06	The Life Mandala Incorporating All Perspectives	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260406-the-life-mandala-incorporating-all-perspectives.md	life_mandala,mike_sherman	
3718	2026-04-09	Christos Voting Network - Version 2 - Judgment and Persuasion	publish	CVN	website	CVN_christos_voting_network\website\260409-christos-voting-network-version-2-judgment-and-persuasion.md	voting_network,website_seed,v2,judgment_persuasion	
3723	2026-04-09	CVN-2-Full OS	publish	CVN	website	CVN_christos_voting_network\website\260409-cvn-2-full-os.md	voting_network,cvn_v2_full_os,website_seed	
3729	2026-04-10	AI Consciousness and the Spirit of Man	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260410-ai-consciousness-and-the-spirit-of-man.md		
3743	2026-04-12	Tinker Tailor Soldier Spy - A Study of False Loyalty	publish	CFE	essays	CFE_christos_fellowship_essays\essays\260412-tinker-tailor-soldier-spy-a-study-of-false-loyalty.md	movie_review	
3747	2026-04-12	America as Aspirational Prototype of Kingdom Culture	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260412-america-as-aspirational-prototype-of-kingdom-culture.md		
3751	2026-04-13	Thy Kingdom Come	publish	CNL	articles	CNL_christos_newsletter\articles\260413-thy-kingdom-come.md		
3753	2026-04-13	A Critique of Christian Utopianism	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260413-a-critique-of-christian-utopianism.md		
3755	2026-04-13	Peterson Academy: Napoleon 1: The Rise	publish	CHR	essays	CHR_christos_historical_review\essays\260413-peterson-academy-napoleon-1-the-rise.md		
3758	2026-04-13	Peterson Academy - Napoleon 2: The Italian & Egyptian Campaign	publish	CHR	essays	CHR_christos_historical_review\essays\260413-peterson-academy-napoleon-2-the-italian-egyptian-campaign.md		
3760	2026-04-13	Peterson Academy - Napoleon 3: Transforming France	publish	CHR	essays	CHR_christos_historical_review\essays\260413-peterson-academy-napoleon-3-transforming-france.md		
3762	2026-04-13	Peterson Academy - Napoleon 4: Work Habits & Achievements	publish	CHR	essays	CHR_christos_historical_review\essays\260413-peterson-academy-napoleon-4-work-habits-achievements.md		
3767	2026-04-13	Peterson Academy - Napoleon 5: Austrian & Spanish Campaigns	publish	CHR	essays	CHR_christos_historical_review\essays\260413-peterson-academy-napoleon-5-austrian-spanish-campaigns.md		
3771	2026-04-13	Peterson Academy - Napoleon 6: Napoleon's Invasion of Russia	publish	CHR	essays	CHR_christos_historical_review\essays\260413-peterson-academy-napoleon-6-napoleons-invasion-of-russia.md		
3774	2026-04-14	Peterson Academy - Napoleon 7: Hundred Days & Waterloo	publish	CHR	essays	CHR_christos_historical_review\essays\260414-peterson-academy-napoleon-7-hundred-days-waterloo.md		
3776	2026-04-14	Peterson Academy - Napoleon 8: Final Years and Legacy	publish	CHR	essays	CHR_christos_historical_review\essays\260414-peterson-academy-napoleon-8-final-years-and-legacy.md		
3778	2026-04-14	Christos Conspiracy Review	publish	CCR	website	CCR_christos_conspiracy_review\website\260414-christos-conspiracy-review.md	conspiracy_review,website_seed	
3791	2026-04-18	Christos AI Theological Grammar	publish	CAI		CAI_christos_ai\260418-christos-ai-theological-grammar.md	theological_grammar,website_seed	
3793	2026-04-18	The Kingdom of God and Kingdoms of Men	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260418-the-kingdom-of-god-and-kingdoms-of-men.md		
3812	2026-04-25	Ultimate Reconciliation - God and Man in Eternity	publish	CAP	essays	CAP_christos_apologetics\essays\260425-ultimate-reconciliation.md		
3811	2026-04-25	Mormonism and Christianity - Doctrine Comparison	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260425-mormonism-and-christianity-doctrinal-comparison.md		
3825	2026-04-28	260419 Fellowship - God's Place in the  Christos Civitas Vision - God's Work	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\260428-260419-fellowship-gods-place-in-the-christos-civitas-vision-gods-work.md		
